类别,伽马GR/API,钍TH/ppm,铀U/ppm,钾K/%,光电吸收截面指数Pe/bam*e-1,中子CNL/%,密度DEN/cm3
安山质,85.626,9.0049,0.8845,2.6687,6.7805,17.5848,2.462618
安山质,107.297,4.5913,0.9971,3.7029,6.3196,12.591,2.412187
安山质,70.864,11.4924,1.4129,3.7008,7.8653,14.6076,2.495044
安山质,92.555,8.0418,1.3286,3.826,7.1823,15.648,2.348432
安山质,115.491,5.0698,0.6114,3.0674,3.942,16.1895,2.647967
安山质,127.161,2.7578,0.723,2.5977,5.6593,13.5677,2.659167
安山质,104.576,7.2006,0.6571,2.8529,8.7972,18.2564,2.473591
安山质,67.618,6.7051,1.831,3.7995,7.9092,9.8871,2.350905
安山质,53.77,4.2062,0.8834,3.8502,8.218,9.2515,2.577184
安山质,89.793,3.4263,1.9976,2.6904,3.9224,16.8306,2.484609
安山质,61.393,3.0244,0.7711,2.9583,7.9029,10.8538,2.305887
安山质,63.443,2.5526,1.7956,2.5328,5.8491,17.0109,2.288012
安山质,103.45,9.2713,1.3393,2.7926,7.0858,15.5724,2.437094
安山质,82.256,4.0422,1.9283,2.6509,4.2231,13.6535,2.580872
安山质,94.277,4.2967,0.6962,2.6647,5.1393,16.7702,2.660501
安山质,84.786,9.8094,1.408,3.275,7.8172,13.6931,2.597304
安山质,109.062,10.3356,0.8075,3.3542,8.6633,14.1825,2.419966
安山质,106.623,5.2776,1.12,2.6685,5.3453,16.6706,2.627117
安山质,129.999,8.3311,1.0092,2.7502,7.7404,15.398,2.455972
安山质,106.51,7.6518,0.9468,2.7392,7.8461,12.0528,2.702398
安山质,102.912,5.2396,1.0613,2.9477,7.1048,17.8324,2.300428
安山质,81.368,5.0085,1.3609,2.6042,3.8221,10.2048,2.695558
安山质,93.286,2.3731,0.9402,3.3122,5.6677,18.7755,2.426243
安山质,124.752,11.1114,0.9421,2.8331,5.8131,15.0791,2.408961
安山质,76.294,8.1316,1.6721,3.6282,5.8463,15.9513,2.315054
安山质,56.126,7.3522,1.1482,2.528,8.9142,19.7542,2.505746
安山质,63.943,4.362,1.7166,3.8496,5.8185,15.0,2.471191
安山质,81.998,9.8265,1.2804,3.268,8.6451,16.205,2.547262
安山质,92.689,5.8401,1.6356,3.2275,7.2495,16.0038,2.235256
安山质,102.455,4.847,1.6057,3.2665,4.5209,17.34,2.288384
安山质,115.986,9.5152,1.023,3.3067,5.1937,14.2215,2.284011
安山质,67.936,3.4698,1.7874,2.7228,7.7242,18.8993,2.405864
安山质,115.467,6.6328,1.6807,2.8304,3.8358,9.2642,2.196149
安山质,95.851,2.0744,1.1876,2.8616,7.5626,17.8846,2.544674
安山质,56.374,3.4378,0.6986,2.8698,4.0576,16.1186,2.531521
安山质,104.312,2.9512,1.1504,3.746,4.2216,18.0131,2.560979
安山质,54.105,11.2247,1.4405,2.9742,8.8646,13.432,2.288785
安山质,57.998,9.2249,0.6945,3.1075,9.1871,11.2814,2.331628
安山质,53.385,3.3397,1.1126,3.5997,5.4834,15.1689,2.666202
安山质,74.486,4.466,1.3594,3.1755,8.8629,11.5031,2.655243
安山质,103.99,2.313,1.9072,2.5224,9.1349,13.4422,2.602337
安山质,112.755,8.2875,1.5084,3.7589,7.6617,14.0076,2.372769
安山质,82.957,5.6025,1.2186,3.3091,7.2805,17.1953,2.487607
安山质,51.339,10.2818,1.8916,2.8362,6.5326,14.8675,2.637525
安山质,50.779,8.6311,0.8912,3.0185,4.4368,19.8988,2.25339
安山质,68.079,9.7456,1.7654,2.7152,8.759,13.1463,2.682634
安山质,105.493,4.0517,1.6697,2.9186,8.2337,13.3343,2.453683
安山质,86.045,5.1188,1.9794,2.8788,7.4931,17.5709,2.222768
安山质,50.189,7.8357,1.4577,3.2415,4.2894,15.6446,2.703233
安山质,113.366,7.517,1.6581,3.1564,5.9793,18.9965,2.479985
安山质,83.426,3.9797,1.0141,3.2646,4.9222,15.1905,2.450093
安山质,61.406,2.4043,1.5137,2.5116,8.3875,10.1411,2.601668
安山质,69.111,3.1278,0.9441,3.1177,5.1279,11.8503,2.557913
安山质,99.849,5.4202,0.8717,3.2363,7.948,12.2712,2.367895
安山质,98.982,3.9486,1.339,3.7277,4.1565,8.8926,2.631599
安山质,69.917,6.5928,1.2836,3.7341,9.1772,15.2986,2.314259
安山质,68.695,10.7686,1.2107,2.6525,3.8243,9.1095,2.353263
安山质,105.634,7.5681,1.916,2.9634,9.0266,11.7074,2.589016
安山质,113.771,9.0948,0.9653,2.5685,7.5373,19.3465,2.374722
安山质,76.646,7.9788,0.603,2.8051,6.5303,14.1191,2.660299
安山质,123.777,2.0554,1.4721,2.5453,5.7571,14.7632,2.652236
安山质,90.923,5.364,1.4695,3.7061,4.0615,13.2418,2.674808
安山质,105.078,5.8928,1.1323,2.7693,7.9674,17.0275,2.184165
安山质,99.034,8.2923,1.4193,3.4478,4.6491,13.6753,2.661995
安山质,69.248,5.0852,0.9798,3.6165,8.9906,16.8877,2.373991
安山质,88.535,6.1031,1.2238,2.9754,8.4806,15.4193,2.320554
安山质,129.136,11.0903,1.1404,2.6502,5.4937,14.1668,2.323952
安山质,77.752,10.6862,1.0257,3.2002,6.0176,9.8147,2.630009
安山质,65.594,7.4711,1.1833,3.0902,5.6426,15.5888,2.576176
安山质,84.255,11.2548,0.7216,3.2944,4.3175,15.6255,2.706443
安山质,63.193,5.4874,1.652,3.3701,6.3109,17.4958,2.328949
安山质,87.899,8.9735,1.506,3.7707,5.884,10.2492,2.277713
安山质,75.998,10.9412,0.7773,2.5696,4.632,15.7279,2.551511
安山质,97.57,7.3766,0.9767,2.9234,6.7802,13.2137,2.29843
安山质,55.616,10.9213,1.5248,3.0197,6.2961,10.3241,2.268729
安山质,129.221,11.406,0.7084,2.5221,7.7435,9.5999,2.603889
安山质,79.274,11.4483,1.2984,3.6307,9.0205,13.3692,2.631988
安山质,105.999,7.6284,1.7937,3.5534,8.4615,11.67,2.550451
安山质,66.319,5.4575,1.7174,3.505,7.2665,14.4119,2.213647
安山质,124.753,8.089,1.5145,3.8556,7.6447,16.6854,2.338975
安山质,53.374,8.0873,1.2723,2.6291,4.4218,10.8,2.554228
安山质,86.336,4.8035,0.8426,3.5559,8.9059,12.8168,2.672764
安山质,59.466,2.7521,1.9446,2.5855,4.461,17.5002,2.32765
安山质,101.963,10.2663,1.0586,2.6107,8.1788,10.2193,2.676374
安山质,108.094,4.0105,0.7161,2.6338,6.1029,8.8985,2.206621
安山质,58.198,8.4951,1.4698,2.702,5.7516,19.6271,2.574716
安山质,62.346,4.4211,1.4571,2.8378,8.8136,11.1382,2.329336
安山质,85.805,7.9754,1.5653,3.5949,5.3966,11.242,2.484412
安山质,54.121,7.8547,1.1127,3.3257,8.6202,9.4681,2.411982
安山质,62.819,4.5434,1.0288,3.5466,6.664,12.6096,2.55009
安山质,118.17,6.0291,0.6951,2.6259,7.8636,8.9211,2.53483
安山质,71.451,10.9297,0.6246,3.3894,7.8185,9.7343,2.413596
安山质,104.635,6.1087,0.698,3.0941,9.1015,16.7575,2.578853
安山质,117.329,4.5382,1.8103,3.6995,3.8255,10.3272,2.165114
安山质,120.17,4.6585,0.964,3.4979,7.5457,13.9425,2.559362
安山质,50.717,8.1272,0.8714,3.8178,6.1298,13.3368,2.648365
安山质,83.901,5.4028,0.983,2.7931,5.1663,15.2932,2.326593
安山质,108.096,5.9712,1.9903,2.8256,7.7119,19.5532,2.625895
安山质,124.284,2.3577,1.1066,2.6974,3.8543,15.6946,2.609369
安山质,68.768,5.3211,0.6121,2.5802,7.9639,10.8994,2.672859
安山质,91.422,4.7278,1.8171,3.486,5.8092,9.9333,2.658872
安山质,91.759,5.5682,1.5918,2.9963,5.1865,10.8222,2.5081
安山质,119.046,7.7602,1.7546,3.0851,4.8949,18.0481,2.411935
安山质,121.069,8.4394,1.6359,3.5393,5.2214,13.4293,2.638049
安山质,82.595,10.5291,1.4406,3.1205,9.0243,9.9802,2.621668
安山质,116.152,2.5713,0.6498,2.5647,5.8722,15.1487,2.576613
安山质,94.597,7.963,1.8919,3.5174,8.8624,16.7874,2.340968
安山质,71.954,3.7727,1.7214,2.792,5.0446,16.8557,2.525378
安山质,94.141,11.2073,0.9737,3.8603,6.4055,12.6984,2.401493
安山质,51.37,11.0676,1.5033,2.6059,8.8058,9.9977,2.35555
安山质,71.551,11.4618,0.9494,3.4967,4.3992,10.8611,2.371816
安山质,85.231,3.4022,1.6623,2.8129,6.22,16.6027,2.611068
安山质,91.471,7.2241,0.9547,3.2655,8.911,19.8271,2.372272
安山质,114.127,7.6603,1.4739,3.0821,5.3651,12.992,2.537687
安山质,90.479,8.3745,0.875,3.8928,7.3657,16.5208,2.616612
安山质,115.102,5.5527,1.2144,2.9821,5.2942,10.1392,2.656011
安山质,85.27,7.2028,0.6932,3.2906,5.2673,14.9733,2.271064
安山质,66.406,7.7784,1.3917,3.577,6.8024,18.0385,2.368392
安山质,69.838,7.6854,0.8152,3.5666,8.4981,16.4874,2.645119
安山质,101.469,8.8047,0.6138,3.7114,7.4086,9.1912,2.398581
安山质,75.15,6.0357,0.6556,3.703,6.752,15.8874,2.567026
安山质,85.436,9.7553,1.0004,3.2592,4.0552,18.034,2.590995
安山质,98.627,7.4934,0.9224,3.8012,7.0303,18.2134,2.253799
安山质,59.054,9.7309,1.723,3.4248,6.7131,10.959,2.387846
安山质,51.775,2.4117,1.8909,3.5669,4.7324,16.7083,2.3443
安山质,126.738,5.8588,1.4739,3.1493,9.0611,16.2023,2.482191
安山质,86.828,4.8266,0.6058,3.7866,3.8711,18.6976,2.279492
安山质,88.828,5.1848,1.9789,2.6632,3.9209,10.8188,2.416496
安山质,127.431,4.6426,1.2711,3.1921,8.455,11.426,2.449837
安山质,59.416,2.1701,1.0067,3.3857,4.018,13.5231,2.299369
安山质,74.788,11.1563,1.8616,2.9428,4.1591,9.688,2.418516
安山质,123.228,8.9538,1.6952,3.6822,7.3082,18.157,2.504268
安山质,80.236,8.1911,1.6656,3.1247,4.2842,17.8486,2.69619
安山质,114.433,2.8809,1.3969,3.3434,7.4034,13.9317,2.298585
安山质,84.636,8.3007,1.0176,3.2272,7.1416,15.4065,2.404629
安山质,128.065,8.4068,0.8724,2.6759,6.8557,9.629,2.26729
安山质,78.014,3.2245,1.5176,2.9734,8.5197,10.2239,2.635376
安山质,93.32,11.0174,0.6516,3.2825,5.2815,8.796,2.221057
安山质,100.654,5.2677,0.6898,3.6199,6.8398,16.6058,2.568555
安山质,123.139,11.1485,0.7532,3.7845,7.98,14.3172,2.239556
安山质,124.672,6.447,0.9153,3.0398,7.9716,13.6571,2.356001
安山质,51.07,6.6508,1.4777,2.9235,4.542,16.6419,2.213335
安山质,128.585,8.5282,1.4707,3.859,7.4717,16.9952,2.204064
安山质,59.22,6.8914,1.3039,2.8271,6.3597,19.562,2.708641
安山质,89.826,10.9941,0.9376,2.9941,5.5693,11.9466,2.265891
安山质,122.969,9.7455,0.6211,2.6944,5.0872,12.7789,2.34399
安山质,84.621,8.818,1.6664,3.625,8.8691,14.3728,2.338525
安山质,53.806,5.7923,0.7081,3.8424,6.8229,12.8578,2.706176
安山质,111.595,4.5153,1.2995,3.2159,4.5464,11.1779,2.297625
安山质,97.282,3.3986,1.8392,3.8329,8.3048,16.6634,2.547231
安山质,50.405,3.1031,1.2245,3.2123,4.533,13.9372,2.607602
安山质,119.004,9.3378,0.648,2.8849,5.2632,9.6808,2.214562
安山质,77.561,8.6618,0.6468,3.1922,9.0417,12.5749,2.694786
安山质,121.779,9.3607,1.2691,2.9589,6.2794,15.493,2.563228
安山质,126.355,5.4218,0.891,2.764,7.2289,12.4367,2.171992
安山质,129.957,10.2028,0.8114,2.9451,7.041,19.9738,2.242036
安山质,113.63,7.1788,0.694,3.4742,4.2049,10.4093,2.215631
安山质,103.099,4.5704,1.6358,2.7476,7.6625,16.7766,2.347105
安山质,89.255,10.8321,0.7839,3.3384,8.2054,11.7205,2.696444
安山质,64.513,4.8721,1.0235,3.1816,9.1384,18.828,2.515901
安山质,119.786,7.1505,1.296,3.5112,8.806,11.0042,2.521182
安山质,54.622,7.5629,1.8465,3.604,6.2788,13.8043,2.654963
安山质,79.792,8.2404,0.6379,3.1773,6.6981,17.8929,2.656445
安山质,66.77,4.6727,1.8596,3.7166,6.2578,9.2733,2.494035
安山质,65.092,10.1128,1.0,3.1147,7.9319,18.8718,2.529365
安山质,105.417,7.9076,0.8209,2.5231,8.5092,17.5823,2.263787
安山质,52.248,8.1891,1.7501,3.1155,5.0182,15.5742,2.229927
安山质,53.188,5.7443,1.4899,2.8458,5.8652,18.5368,2.477468
安山质,74.207,2.2392,1.5031,2.8551,4.9533,13.9117,2.320165
安山质,70.755,6.2296,1.0928,3.8978,6.4406,15.6308,2.295941
安山质,127.401,5.6422,1.7781,2.8765,5.1338,15.0007,2.638211
安山质,88.378,7.0949,0.8465,3.6495,8.081,13.7752,2.503449
安山质,119.455,4.6738,1.7025,3.0451,7.9026,8.9665,2.216625
安山质,129.586,11.3532,1.8292,3.2302,5.6163,13.256,2.235722
安山质,83.159,9.6836,0.7999,3.894,8.5453,14.6509,2.682026
安山质,81.662,6.4551,1.3702,2.9304,5.9592,9.6607,2.354153
安山质,123.729,9.8581,1.298,3.1392,4.5719,14.7012,2.259538
安山质,88.007,9.6821,1.7485,3.3864,9.1206,14.9354,2.438457
安山质,92.721,10.0013,1.0692,3.1573,6.8532,10.6456,2.567719
安山质,110.089,8.839,1.1731,2.5842,7.2488,18.8546,2.707848
安山质,61.04,11.0157,1.3328,3.1773,5.5079,11.8282,2.21291
安山质,86.441,10.6543,1.4563,3.1521,6.5014,14.5171,2.299014
安山质,102.385,2.1114,1.9564,3.5613,8.4455,11.0789,2.18573
安山质,55.467,5.2738,1.403,3.2885,8.4952,11.3041,2.568754
安山质,85.271,11.2066,0.7882,3.3822,7.4285,12.2767,2.652178
安山质,121.323,2.4199,1.562,3.4128,4.3908,10.1048,2.326419
安山质,104.339,10.2038,1.1166,2.9623,4.6555,18.1653,2.417119
安山质,85.458,10.5725,1.8027,2.6377,6.296,18.5023,2.52324
安山质,119.124,4.3882,1.327,2.7027,8.4152,14.6702,2.276515
安山质,88.914,6.8783,1.8509,3.5836,8.0627,11.6408,2.498844
安山质,93.65,4.3415,1.32,3.2885,8.7415,17.875,2.602007
安山质,128.572,8.624,1.4364,3.5981,9.0547,14.8865,2.401179
安山质,52.582,2.2046,1.157,2.7871,9.0952,15.8246,2.614592
安山质,57.092,5.1417,1.3517,3.242,7.0621,13.9409,2.445954
安山质,51.223,10.0422,1.7838,2.8983,6.6946,14.0031,2.397857
安山质,74.576,4.0626,0.7903,2.707,6.9779,16.5818,2.378392
安山质,70.005,9.4214,0.9734,3.4111,3.908,10.2253,2.307871
安山质,108.617,8.8962,1.1268,3.3294,6.1184,9.0031,2.495653
安山质,97.965,3.345,1.3823,2.8291,8.7756,17.5751,2.609563
安山质,85.659,10.3079,1.5592,3.6573,7.6532,12.6782,2.160523
安山质,95.645,9.3521,1.8314,3.6634,9.0856,10.2101,2.330502
安山质,53.58,5.8526,0.9392,3.8691,3.9063,12.0273,2.270894
安山质,112.366,10.6982,1.3395,3.2928,6.0774,17.0441,2.524095
安山质,71.959,9.9547,1.6482,2.6387,7.5396,16.1732,2.261567
安山质,93.734,7.0704,0.7236,3.7792,7.6536,9.761,2.640474
安山质,109.438,4.3406,1.5493,3.3248,7.6072,10.5097,2.503007
安山质,93.431,3.8179,1.2024,3.8013,5.0262,14.7341,2.610768
安山质,94.128,2.6669,1.0671,2.8441,8.9512,17.9946,2.585374
安山质,57.43,8.2229,0.6588,3.4414,5.1112,19.546,2.310271
安山质,62.697,3.9217,0.7665,3.776,6.2377,9.2208,2.32212
安山质,96.556,5.1026,0.9406,3.3535,4.2047,15.9118,2.325393
安山质,67.175,5.2401,1.5331,3.4663,6.055,17.0491,2.161192
安山质,107.225,8.849,1.4707,3.501,7.5283,18.2319,2.304715
安山质,128.641,5.0468,1.1987,3.0665,7.0707,18.5564,2.292741
安山质,65.518,4.4058,0.7664,3.243,7.9255,15.8014,2.630441
安山质,91.24,8.5259,0.9356,3.5149,5.9283,19.9819,2.522821
安山质,113.752,8.7082,1.5012,3.7756,4.2332,16.2891,2.639368
安山质,81.105,10.7384,0.724,3.5977,7.4464,17.3964,2.169498
安山质,51.978,6.1421,1.4199,2.5952,8.2281,19.2131,2.474611
安山质,55.7,6.989,0.9159,3.1727,7.8439,17.4545,2.528134
安山质,108.302,8.5537,0.8419,3.1076,9.133,15.1913,2.271933
安山质,111.182,7.0719,0.7257,3.3034,4.4596,10.3822,2.305739
安山质,128.551,8.678,1.8349,2.8835,7.5272,17.7511,2.672316
安山质,87.656,3.6809,1.4489,2.7924,6.975,13.2097,2.70619
安山质,92.505,8.0813,1.9674,2.7515,4.4372,18.2287,2.422108
安山质,93.91,2.8812,1.8001,3.6965,8.23,13.6243,2.188674
安山质,123.453,6.0913,1.3459,2.9596,4.7437,17.6162,2.38237
安山质,52.062,5.9029,1.5758,2.51,7.2719,11.0662,2.589911
安山质,74.892,8.8994,1.3626,3.8296,5.5663,8.9096,2.379518
安山质,120.085,4.5356,1.099,3.4402,7.3385,10.1262,2.531847
安山质,76.31,5.4862,1.762,3.1175,9.0076,17.9426,2.663919
安山质,116.108,5.2414,1.3593,2.6702,4.4294,15.1117,2.598556
安山质,94.516,9.8083,1.9564,3.8102,7.9134,9.8156,2.549259
安山质,122.339,2.7429,1.2439,2.963,3.9184,10.2209,2.264675
安山质,94.114,7.2099,0.6328,3.6237,5.6036,13.7243,2.613774
安山质,69.964,2.7845,1.5881,2.5847,8.728,15.5992,2.538458
安山质,66.344,4.4269,1.3645,3.6558,9.0074,10.8237,2.705888
安山质,83.682,4.4395,1.7859,3.33,4.8535,18.7516,2.241368
安山质,125.025,8.0111,1.0411,3.6081,6.6019,14.9894,2.387505
安山质,58.009,10.9352,0.7601,2.5023,7.0456,9.9382,2.325527
安山质,118.724,8.8422,1.7109,3.65,6.7306,11.5072,2.289479
安山质,89.392,3.0249,1.0357,3.3439,8.6805,12.3272,2.63164
安山质,104.009,10.9288,1.5272,2.6009,7.5187,19.2722,2.506419
安山质,53.973,5.2912,1.9411,3.4616,5.0766,12.5581,2.552011
安山质,87.279,3.4563,1.6063,3.2347,8.9447,13.7416,2.635356
安山质,67.333,2.956,1.5895,3.0795,7.7895,16.2387,2.399945
安山质,118.699,8.518,0.6043,3.3039,8.1556,11.4623,2.421928
安山质,65.826,6.1245,1.153,3.7689,8.7089,19.6051,2.231331
安山质,97.182,4.0908,1.9204,3.8224,3.8885,14.3703,2.192481
安山质,54.21,3.1279,0.6099,3.8064,8.4279,15.5095,2.3447
安山质,120.565,2.7241,0.7676,2.6223,4.1142,19.0345,2.637765
安山质,72.533,8.5834,1.4083,3.3876,9.0377,10.7486,2.191681
安山质,66.704,2.1666,0.9042,2.8149,8.3873,18.502,2.263103
安山质,74.579,8.9059,1.447,2.8662,7.2724,18.9717,2.34309
安山质,62.431,7.3465,1.3097,3.3371,4.2767,18.2299,2.567054
安山质,110.379,10.1679,0.7978,2.7464,5.5777,12.9711,2.212335
安山质,123.15,7.0515,1.1592,3.0024,3.9715,10.9453,2.551332
安山质,122.356,8.0061,0.8069,2.5156,6.553,11.1648,2.219709
安山质,57.121,8.6708,0.6289,3.0049,6.6333,14.4217,2.667584
安山质,72.172,2.345,0.9585,2.9395,8.0042,19.9206,2.301176
安山质,115.838,6.9259,0.6948,3.4573,5.9613,18.2741,2.265465
安山质,55.585,9.0326,1.6603,3.0997,5.0114,16.7524,2.4606
安山质,117.494,7.0754,0.8937,2.9571,7.4513,15.1009,2.480582
安山质,97.095,7.8801,1.2649,3.1437,7.8148,16.4925,2.482206
安山质,105.14,7.5834,0.8057,2.7221,8.8639,15.8867,2.496666
安山质,98.808,3.8216,1.1486,3.4301,4.8462,12.8659,2.436046
安山质,68.668,10.4004,0.783,2.8977,8.3689,16.4899,2.6259
安山质,63.193,3.475,0.7471,3.7546,3.9324,10.3314,2.493942
安山质,107.808,11.0885,1.5896,2.6915,8.3373,16.6297,2.350859
安山质,71.77,4.7916,1.7809,3.8569,8.4202,17.5381,2.385048
安山质,65.355,10.3875,1.9659,3.7755,4.5508,18.4484,2.309804
安山质,124.52,10.7231,1.4089,3.7922,8.8229,19.5374,2.301532
安山质,128.633,4.9657,0.7071,3.2659,4.9272,14.7801,2.70679
安山质,83.242,7.4124,1.6044,2.9376,5.189,10.8492,2.293327
安山质,91.291,9.533,0.7407,3.6723,5.8766,17.7607,2.645459
安山质,54.819,9.7557,0.6861,2.7642,4.0297,11.7895,2.547954
安山质,78.966,5.8842,1.0856,3.2159,4.149,17.816,2.454837
安山质,98.24,9.18,1.8411,3.5492,7.5596,18.8013,2.209589
安山质,102.602,8.388,0.9623,3.5367,6.4477,17.1407,2.510379
安山质,103.0,2.9467,1.5217,3.8042,8.228,18.5724,2.501076
安山质,73.717,3.5092,1.7537,2.5256,8.356,10.1278,2.684991
安山质,103.688,3.8501,1.8224,2.8519,4.5998,10.3351,2.700404
安山质,97.585,2.9373,1.99,2.8123,4.6359,9.7743,2.606625
安山质,56.829,7.0358,1.747,3.6933,8.8898,11.2499,2.412954
安山质,92.025,9.8788,0.9428,2.904,4.5531,19.9865,2.693207
安山质,76.811,5.6045,1.4068,3.0133,7.7675,17.6758,2.680325
安山质,123.308,5.4525,1.1348,3.0188,5.3012,9.7495,2.250123
安山质,62.63,11.0725,1.7334,2.8353,5.7576,19.6157,2.545891
安山质,114.587,7.8613,1.7402,3.4135,6.603,14.5903,2.176985
安山质,87.021,4.2042,1.1978,3.8291,3.964,9.4801,2.427225
安山质,67.69,9.4392,1.9614,3.4144,6.4071,16.12,2.539342
安山质,77.87,9.1243,1.4484,3.8606,4.8632,17.0483,2.38361
安山质,51.251,3.1531,1.3082,3.3901,7.2252,8.7516,2.69207
安山质,50.74,7.0814,0.6915,2.7328,8.0969,11.4036,2.401366
安山质,74.475,7.1602,1.0746,2.741,8.3787,9.9074,2.361524
安山质,71.332,8.4069,1.5549,2.6888,5.3244,11.0585,2.314024
安山质,98.312,9.0269,1.9974,3.5913,8.0038,18.3283,2.481826
安山质,59.923,10.6169,1.7283,3.5444,4.1833,17.6097,2.559609
安山质,79.247,6.4808,1.1426,3.7777,6.0983,15.4553,2.611188
安山质,111.073,6.0136,1.0091,3.018,3.921,11.8813,2.425313
安山质,78.324,2.6252,0.8046,3.2998,8.4517,13.3056,2.615788
安山质,111.291,5.1623,1.8912,3.771,7.5936,14.7306,2.644558
安山质,116.214,4.9067,1.9282,3.4293,6.6788,17.2301,2.257591
安山质,89.021,10.7846,1.2315,3.7368,7.5792,12.7858,2.440066
安山质,80.523,9.7495,1.2005,2.6514,8.1864,15.2954,2.176391
安山质,115.893,4.5137,1.3872,3.2004,6.3251,17.8705,2.703433
安山质,64.088,5.0155,1.6973,3.5003,4.6871,16.3668,2.163131
安山质,70.69,4.0279,1.2158,2.5645,8.6852,10.5739,2.508095
安山质,81.281,6.3307,1.7411,3.2409,4.2566,17.1391,2.434825
安山质,61.054,9.8969,1.8461,3.8385,5.3766,12.1156,2.376604
安山质,116.588,5.6548,1.1534,3.4254,5.9666,19.2113,2.678133
安山质,111.964,6.2254,1.5803,3.209,5.9985,15.0035,2.621821
安山质,110.075,6.0716,1.3066,2.7147,5.893,12.4814,2.629692
安山质,92.832,7.8855,0.7848,3.7154,4.1837,14.8085,2.402897
安山质,106.578,4.4786,1.4189,2.671,4.904,13.276,2.661301
安山质,72.175,3.4951,1.9137,3.542,5.5799,13.4748,2.704674
安山质,122.392,9.3963,1.8201,3.455,5.3541,10.2956,2.501308
安山质,95.62,9.0235,1.1813,3.5793,7.0138,9.6711,2.254585
安山质,83.684,3.7334,1.6792,3.0384,6.3628,11.71,2.234583
安山质,94.138,5.376,1.6905,2.9311,6.8617,15.2563,2.497972
安山质,113.69,2.974,1.6053,3.3458,9.1439,14.2129,2.2645
安山质,64.286,11.1551,0.752,3.6853,5.1109,14.827,2.498499
安山质,76.98,2.7164,1.9979,3.3307,8.8536,8.9414,2.25317
安山质,59.333,7.268,1.1254,2.6973,5.5757,15.8733,2.313568
安山质,91.94,7.0372,1.9547,3.3367,7.1548,17.324,2.653525
安山质,119.659,5.3104,0.9795,2.6657,6.6842,15.2682,2.545609
安山质,51.944,5.5197,1.3237,2.5853,9.0911,11.4045,2.428728
安山质,129.301,6.018,1.3718,3.5431,7.3138,13.1144,2.269796
安山质,50.412,8.0067,0.8151,2.9453,6.4278,18.0609,2.541706
安山质,64.358,3.5703,0.6776,3.0549,8.2149,12.791,2.174929
安山质,106.703,6.6664,0.78,3.7258,6.5077,13.6924,2.397134
安山质,112.626,6.5778,1.8157,2.741,4.5807,11.9973,2.618839
安山质,60.537,9.7891,1.2871,3.636,7.3983,16.0776,2.27662
安山质,124.992,4.1638,1.6241,3.0919,6.1818,16.1166,2.572058
安山质,98.201,2.7345,1.2802,3.0799,4.2424,13.0338,2.249865
安山质,110.128,2.163,0.6217,2.7976,8.2852,15.1226,2.425638
安山质,99.732,11.1615,0.8785,3.3961,4.3709,18.0418,2.444791
安山质,58.273,3.4778,1.3197,2.5938,8.9987,17.5196,2.291122
安山质,64.0,4.8036,0.9347,3.8384,8.6124,11.055,2.484485
安山质,82.725,8.6483,1.6011,3.8045,4.8548,12.6983,2.279989
安山质,76.275,5.6587,1.1044,3.4148,4.1461,10.9333,2.39472
安山质,79.429,2.8807,0.8163,3.3081,5.1611,9.4371,2.204316
安山质,119.172,7.8626,1.9824,2.9068,3.9567,12.6268,2.686637
安山质,99.748,11.0293,1.3363,3.2345,7.6545,15.4132,2.561533
安山质,125.13,7.8974,1.0297,3.0491,4.3113,10.6894,2.369559
安山质,78.58,2.0052,1.1845,2.9517,5.0863,12.077,2.182331
安山质,54.129,6.4086,1.3842,2.6957,9.0058,9.5945,2.413406
安山质,100.388,3.901,1.4807,2.7917,6.9555,9.8975,2.533283
安山质,59.521,6.3459,0.978,3.6317,7.6797,13.1856,2.256682
安山质,101.119,6.6325,1.9022,2.9208,4.8552,9.094,2.613716
安山质,81.19,10.1229,1.8745,3.4581,8.4596,9.8516,2.270534
安山质,128.653,5.3959,1.1194,2.9534,8.3863,11.4362,2.700793
安山质,92.649,7.3441,1.9061,3.0877,7.2303,14.6262,2.238676
安山质,50.423,3.0267,1.2024,3.2306,4.3019,15.4345,2.235493
安山质,54.34,2.3426,0.7693,3.1339,4.0141,13.4498,2.404702
安山质,85.538,8.2207,1.3368,2.8849,4.845,10.8973,2.548577
安山质,91.548,4.765,1.1323,3.785,5.3541,9.4918,2.657754
安山质,88.865,9.0899,1.9352,2.6237,5.9046,13.5067,2.706511
安山质,111.294,4.2015,1.5279,2.7879,6.8002,13.5069,2.273756
安山质,110.58,2.7666,1.1812,2.9901,8.1338,11.9028,2.427676
安山质,112.232,9.037,0.7927,2.6522,9.1697,8.9659,2.362195
安山质,109.261,3.5558,1.2502,3.2765,7.0147,12.876,2.511903
安山质,121.4,10.934,1.8676,2.6946,5.8497,10.793,2.352846
安山质,91.122,10.3205,0.9227,3.0481,6.3369,12.9283,2.232953
安山质,126.172,2.8934,1.667,3.1201,5.6275,9.9643,2.453123
安山质,105.293,9.6365,1.2813,3.4646,4.0646,13.4472,2.59416
安山质,129.638,4.0295,1.6942,3.0957,6.9191,9.6668,2.428855
安山质,71.309,5.1435,1.6225,3.6593,5.768,16.0061,2.307963
安山质,105.42,3.3235,1.3812,2.8804,4.8063,14.4553,2.31253
安山质,80.828,5.9708,1.2077,3.0911,6.2831,15.2891,2.588297
安山质,109.959,8.8705,1.286,2.5436,4.7542,16.6497,2.19501
